population	date	idplant	idfruit	sugar_bx_obs	sample_mass_g	water_volume_uL	sample_type	true_sugar_bx
semiurban	04/10/2021	RA9	RA9-4	14.25	NA	NA	pulp	NA
semiurban	04/10/2021	RA23	RA23-1	18.75	NA	NA	pulp	NA
semiurban	04/10/2021	RA46	RA46-5	18.75	NA	NA	pulp	NA
semiurban	04/10/2021	RA37	RA37-2	7	NA	NA	pulp	NA
semiurban	04/10/2021	RA42	RA42-2	6	NA	NA	pulp	NA
semiurban	04/10/2021	RA44	RA44-1	16.5	NA	NA	pulp	NA
semiurban	04/10/2021	RA27	RA27-5	11.75	NA	NA	pulp	NA
semiurban	04/10/2021	RA9	RA9-2	15.75	NA	NA	pulp	NA
semiurban	04/10/2021	RA26	RA26-1	8.5	NA	NA	pulp	NA
semiurban	04/10/2021	RA27	RA27-2	13.25	NA	NA	pulp	NA
semiurban	04/10/2021	RA50	RA50-2	19	NA	NA	pulp	NA
semiurban	04/10/2021	RA33	RA33-5	12.25	NA	NA	pulp	NA
semiurban	04/10/2021	RA8	RA8-4	16	NA	NA	pulp	NA
semiurban	04/10/2021	RA12	RA12-4	14.5	NA	NA	pulp	NA
semiurban	04/10/2021	RA11	RA11-1	16.5	NA	NA	pulp	NA
semiurban	04/10/2021	RA14	RA14-2	13	NA	NA	pulp	NA
semiurban	04/10/2021	RA7	RA7-2	22.5	NA	NA	pulp	NA
semiurban	04/10/2021	RA4	RA4-5	11.75	NA	NA	pulp	NA
semiurban	04/10/2021	RA1	RA1-5	14.5	NA	NA	pulp	NA
semiurban	04/10/2021	RA14	RA14-5	11.5	NA	NA	pulp	NA
urban	05/10/2021	LP18	LP18-2	14.25	NA	NA	pulp	NA
semiurban	05/10/2021	RA19	RA19-3a	18	NA	NA	pulp	NA
semiurban	05/10/2021	RA13	RA13-4	19.5	NA	NA	pulp	NA
semiurban	05/10/2021	RA19	RA19-3b	19.25	NA	NA	pulp	NA
semiurban	05/10/2021	RA26	RA26-3	12	NA	NA	pulp	NA
semiurban	05/10/2021	RA47	RA47-4	21	NA	NA	pulp	NA
semiurban	05/10/2021	RA41	RA41-5	18	NA	NA	pulp	NA
semiurban	05/10/2021	RA37	RA37-3	6.75	NA	NA	pulp	NA
semiurban	05/10/2021	RA38	RA38-3	12.25	NA	NA	pulp	NA
semiurban	05/10/2021	RA9	RA9-1	15.5	NA	NA	pulp	NA
semiurban	05/10/2021	RA33	RA33-4	14.5	NA	NA	pulp	NA
semiurban	05/10/2021	RA34	RA34-3	13.25	NA	NA	pulp	NA
semiurban	05/10/2021	RA38	RA38-5	16.25	NA	NA	pulp	NA
semiurban	05/10/2021	RA40	RA40-2	18.25	NA	NA	pulp	NA
semiurban	05/10/2021	RA12	RA12-1	13.25	NA	NA	pulp	NA
semiurban	05/10/2021	RA11	RA11-5	17.5	NA	NA	pulp	NA
semiurban	05/10/2021	RA33	RA33-2	16.5	NA	NA	pulp	NA
semiurban	05/10/2021	RA29	RA29-3	11	NA	NA	pulp	NA
semiurban	05/10/2021	RA33	RA33-1	7.75	NA	NA	pulp	NA
semiurban	05/10/2021	RA42	RA42-1	20.5	NA	NA	pulp	NA
semiurban	05/10/2021	RA7	RA7-1	21.75	NA	NA	pulp	NA
semiurban	05/10/2021	RA29	RA29-4	11.5	NA	NA	pulp	NA
semiurban	05/10/2021	RA49	RA49-3	15.75	NA	NA	pulp	NA
semiurban	05/10/2021	RA14	RA14-1	14	NA	NA	pulp	NA
semiurban	05/10/2021	RA28	RA28-2	11.5	NA	NA	pulp	NA
semiurban	05/10/2021	RA19	RA19-1	16.75	NA	NA	pulp	NA
semiurban	05/10/2021	RA6	RA6-5	14.25	NA	NA	pulp	NA
semiurban	05/10/2021	RA15	RA15-4	24.5	NA	NA	pulp	NA
semiurban	05/10/2021	RA9	RA9-3	18.25	NA	NA	pulp	NA
semiurban	05/10/2021	RA38	RA38-3	16	NA	NA	pulp	NA
semiurban	05/10/2021	RA33	RA33-2	2	0.178	200	peel	4.247
semiurban	05/10/2021	RA40	RA40-2	2	0.11	200	peel	5.636
semiurban	05/10/2021	RA30	RA30-5	1	0.085	200	peel	3.353
semiurban	05/10/2021	RA42	RA42-2	1.75	0.16	100	peel	2.844
semiurban	05/10/2021	RA50	RA50-3	3.75	0.135	100	peel	6.528
semiurban	05/10/2021	RA43	RA43-1	21.75	NA	NA	pulp	NA
semiurban	05/10/2021	RA31	RA31-1	10	NA	NA	pulp	NA
semiurban	05/10/2021	RA38	RA38-4	20.25	NA	NA	pulp	NA
semiurban	05/10/2021	RA12	RA12-5	7.75	NA	NA	pulp	NA
semiurban	05/10/2021	RA2	RA2-3	9.5	NA	NA	pulp	NA
semiurban	05/10/2021	RA6	RA6-1	3.25	0.155	100	peel	5.347
semiurban	05/10/2021	RA12	RA12-4	4.75	0.123	100	peel	8.612
semiurban	05/10/2021	RA36	RA36-1	1	0.076	100	peel	2.316
semiurban	05/10/2021	RA20	RA20-5	3.5	0.084	100	peel	7.667
semiurban	05/10/2021	RA39	RA39-3	2	0.115	100	peel	3.739
semiurban	05/10/2021	RA9	RA9-4	2.75	0.106	100	peel	5.344
semiurban	05/10/2021	RA5	RA5-5	1	0.064	100	peel	2.563
semiurban	05/10/2021	RA44	RA44-4	1.25	0.052	100	peel	3.654
semiurban	05/10/2021	RA47	RA47-3	3	0.099	100	peel	6.03
semiurban	05/10/2021	RA23	RA23-3	3.25	0.118	100	peel	6.004
semiurban	05/10/2021	RA33	RA33-5	1	0.082	100	peel	2.22
semiurban	12/10/2021	RA40	RA40-5	3.25	0.124	100	peel	5.871
semiurban	12/10/2021	RA23	RA23-4	2.5	0.065	100	peel	6.346
semiurban	12/10/2021	RA1	RA1-3	1.5	0.164	100	peel	2.415
semiurban	12/10/2021	RA19	RA19-1	1.5	0.199	200	peel	3.008
semiurban	12/10/2021	RA13	RA13-1	2.5	0.111	100	peel	4.752
semiurban	12/10/2021	RA12	RA12-5	1.75	0.127	100	peel	3.128
semiurban	12/10/2021	RA27	RA27-1	2.25	0.082	100	peel	4.994
semiurban	12/10/2021	RA24	RA24-2	1.75	0.115	100	peel	3.272
semiurban	12/10/2021	RA30	RA30-2	1.25	0.107	200	peel	3.586
semiurban	12/10/2021	RA14	RA14-1	2.75	0.14	100	peel	4.714
semiurban	12/10/2021	RA19	RA19-2	1.75	0.085	100	peel	3.809
semiurban	12/10/2021	RA49	RA49-5	2.25	0.137	200	peel	5.535
semiurban	12/10/2021	RA41	RA41-1	1.5	0.128	200	peel	3.844
semiurban	12/10/2021	RA38	RA38-4	1.25	0.083	100	peel	2.756
semiurban	12/10/2021	RA44	RA44-2	0.75	0.159	100	peel	1.222
semiurban	12/10/2021	RA22	RA22-5	1.75	0.118	200	peel	4.716
semiurban	12/10/2021	RA1	RA1-4	1	0.147	100	peel	1.68
semiurban	12/10/2021	RA43	RA43-1	2.5	0.127	100	peel	4.469
semiurban	12/10/2021	RA14	RA14-5	1.25	0.154	200	peel	2.873
semiurban	13/10/2021	RA29	RA29-5	0.5	0.125	100	peel	0.9
semiurban	13/10/2021	RA16	RA16-3	3.75	0.154	100	peel	6.185
semiurban	13/10/2021	RA35	RA35-1	4	0.091	100	peel	8.396
semiurban	13/10/2021	RA34	RA34-2	1.25	0.12	100	peel	2.292
semiurban	13/10/2021	RA10	RA10-3	1.75	0.09	100	peel	3.694
semiurban	13/10/2021	RA9	RA9-2	1.75	0.117	200	peel	4.741
semiurban	13/10/2021	RA37	RA37-4	1	0.099	100	peel	2.01
semiurban	13/10/2021	RA37	RA37-2	1.25	0.155	100	peel	2.056
semiurban	13/10/2021	RA10	RA10-5	1.5	0.142	100	peel	2.556
semiurban	13/10/2021	RA14	RA14-2	1.5	0.169	100	peel	2.388
semiurban	13/10/2021	RA26	RA26-4	0.75	0.19	100	peel	1.145
semiurban	13/10/2021	RA33	RA33-4	1.25	0.109	100	peel	2.397
semiurban	13/10/2021	RA3	RA3-5	0.75	0.029	100	peel	3.336
semiurban	13/10/2021	RA15	RA15-3	3.5	0.161	200	peel	7.848
semiurban	13/10/2021	RA9	RA9-5	10.5	NA	NA	pulp	NA
semiurban	13/10/2021	RA38	RA38-2	21.25	NA	NA	pulp	NA
semiurban	13/10/2021	RA47	RA47-5	20.75	NA	NA	pulp	NA
semiurban	13/10/2021	RA20	RA20-4	23.25	NA	NA	pulp	NA
semiurban	13/10/2021	RA37	RA37-4	6.75	NA	NA	pulp	NA
semiurban	13/10/2021	RA44	RA44-5	0.75	0.11	200	peel	2.114
semiurban	14/10/2021	RA35	RA35-3	1.25	0.153	100	peel	2.067
semiurban	14/10/2021	RA46	RA46-4	0.75	0.083	100	peel	1.654
semiurban	14/10/2021	RA37	RA37-3	1.25	0.081	100	peel	2.793
semiurban	14/10/2021	RA7	RA7-2	2	0.113	100	peel	3.77
semiurban	14/10/2021	RA17	RA17-4	3	0.132	100	peel	5.273
semiurban	14/10/2021	RA10	RA10-1	2	0.095	100	peel	4.105
semiurban	14/10/2021	RA37	RA37-1	1.75	0.078	100	peel	3.994
semiurban	14/10/2021	RA20	RA20-4	3.25	0.171	100	peel	5.151
semiurban	14/10/2021	RA14	RA14-4	1.25	0.12	200	peel	3.333
semiurban	14/10/2021	RA41	RA41-4	1.5	0.1	100	peel	3
semiurban	14/10/2021	RA23	RA23-3	19	NA	NA	pulp	NA
semiurban	14/10/2021	RA13	RA13-1	17.25	NA	NA	pulp	NA
semiurban	14/10/2021	RA23	RA23-5	20	NA	NA	pulp	NA
semiurban	14/10/2021	RA3	RA3-3	16.5	NA	NA	pulp	NA
semiurban	14/10/2021	RA27	RA27-3	14.5	NA	NA	pulp	NA
semiurban	15/10/2021	RA25	RA25-3	0.75	0.039	100	peel	2.673
semiurban	15/10/2021	RA42	RA42-1	3.25	0.113	100	peel	6.126
semiurban	15/10/2021	RA48	RA48-2	1.75	0.139	100	peel	3.009
semiurban	15/10/2021	RA9	RA9-1	1.5	0.171	100	peel	2.377
semiurban	15/10/2021	RA42	RA42-3	1.75	0.136	100	peel	3.037
semiurban	15/10/2021	RA30	RA30-4	2	0.114	200	peel	5.509
semiurban	15/10/2021	RA22	RA22-1	1.75	0.187	200	peel	3.622
semiurban	15/10/2021	RA13	RA13-2	3.5	0.167	100	peel	5.596
semiurban	15/10/2021	RA18	RA18-4	2	0.161	100	peel	3.242
semiurban	15/10/2021	RA47	RA47-4	2.25	0.153	200	peel	5.191
semiurban	15/10/2021	RA26	RA26-4	8.5	NA	NA	pulp	NA
semiurban	15/10/2021	RA29	RA29-2	13.5	NA	NA	pulp	NA
semiurban	15/10/2021	RA32	RA32-1	11.5	NA	NA	pulp	NA
semiurban	15/10/2021	RA19	RA19-4	16.25	NA	NA	pulp	NA
semiurban	15/10/2021	RA46	RA46-2	28.25	NA	NA	pulp	NA
urban	15/10/2021	LP37	LP37-5	21	NA	NA	pulp	NA
semiurban	18/10/2021	RA50	RA50-4	1.5	0.119	100	peel	2.761
semiurban	18/10/2021	RA40	RA40-3	3	0.218	100	peel	4.376
semiurban	18/10/2021	RA23	RA23-5	4	0.243	200	peel	7.292
semiurban	18/10/2021	RA50	RA50-1	1.5	0.145	100	peel	2.534
semiurban	18/10/2021	RA7	RA7-4	1.5	0.093	100	peel	3.113
semiurban	18/10/2021	RA28	RA28-4	1.25	0.17	100	peel	1.985
semiurban	18/10/2021	RA50	RA50-5	1.5	0.079	100	peel	3.399
semiurban	18/10/2021	RA19	RA19-3	2.75	0.168	100	peel	4.387
semiurban	18/10/2021	RA17	RA17-1	18.75	NA	NA	pulp	NA
semiurban	18/10/2021	RA28	RA28-4	13.75	NA	NA	pulp	NA
semiurban	18/10/2021	RA24	RA24-1	21.25	NA	NA	pulp	NA
semiurban	18/10/2021	RA7	RA7-4	21.5	NA	NA	pulp	NA
semiurban	18/10/2021	RA29	RA29-1	13.25	NA	NA	pulp	NA
semiurban	18/10/2021	RA6	RA6-4	17.25	NA	NA	pulp	NA
semiurban	18/10/2021	RA1	RA1-3	16	NA	NA	pulp	NA
semiurban	19/10/2021	RA10	RA10-2	0.75	0.124	100	peel	1.355
semiurban	19/10/2021	RA9	RA9-5	1	0.124	100	peel	1.806
semiurban	19/10/2021	RA26	RA26-2	0.75	0.14	200	peel	1.821
semiurban	19/10/2021	RA29	RA29-3	0.75	0.136	100	peel	1.301
semiurban	19/10/2021	RA24	RA24-4	1	0.097	100	peel	2.031
semiurban	19/10/2021	RA27	RA27-2	1.25	0.155	100	peel	2.056
semiurban	19/10/2021	RA25	RA25-1	2.5	0.105	200	peel	7.262
semiurban	19/10/2021	RA27	RA27-3	0.5	0.083	100	peel	1.102
semiurban	19/10/2021	RA10	RA10-4	2.75	0.194	100	peel	4.168
semiurban	19/10/2021	RA4	RA4-2	0.25	0.014	100	peel	2.036
semiurban	19/10/2021	RA24	RA24-4	20	NA	NA	pulp	NA
semiurban	19/10/2021	RA24	RA24-2	22	NA	NA	pulp	NA
semiurban	19/10/2021	RA42	RA42-5	9	NA	NA	pulp	NA
semiurban	19/10/2021	RA36	RA36-1	17.25	NA	NA	pulp	NA
semiurban	19/10/2021	RA41	RA41-1	21.25	NA	NA	pulp	NA
semiurban	22/10/2021	RA29	RA29-1	1.5	0.104	100	peel	2.942
semiurban	22/10/2021	RA6	RA6-4	1.25	0.115	100	peel	2.337
semiurban	22/10/2021	RA21	RA21-1	1.25	0.09	200	peel	4.028
semiurban	22/10/2021	RA35	RA35-3	1.5	0.091	100	peel	3.148
semiurban	22/10/2021	RA28	RA28-1	2.25	0.146	100	peel	3.791
semiurban	22/10/2021	RA17	RA17-3	1	0.15	100	peel	1.667
semiurban	22/10/2021	RA3	RA3-4	1	0.158	200	peel	2.266
semiurban	22/10/2021	RA40	RA40-1	3	0.134	100	peel	5.239
semiurban	22/10/2021	RA20	RA20-2	3.25	0.194	200	peel	6.601
semiurban	22/10/2021	RA23	RA23-1	4	0.155	100	peel	6.581
semiurban	22/10/2021	RA43	RA43-5	20.5	NA	NA	pulp	NA
semiurban	22/10/2021	RA23	RA23-4	19.25	NA	NA	pulp	NA
semiurban	22/10/2021	RA20	RA20-5	22.5	NA	NA	pulp	NA
semiurban	22/10/2021	RA28	RA28-1	12.25	NA	NA	pulp	NA
semiurban	22/10/2021	RA3	RA3-NN	17.5	NA	NA	pulp	NA
semiurban	25/10/2021	RA19	RA19-5	1.75	0.123	200	peel	4.596
semiurban	25/10/2021	RA24	RA24-3	1.75	0.179	200	peel	3.705
semiurban	25/10/2021	RA33	RA33-3	3	0.145	100	peel	5.069
semiurban	25/10/2021	RA6	RA6-5	2.5	0.149	100	peel	4.178
semiurban	25/10/2021	RA19	RA19-4	1.75	0.192	100	peel	2.661
semiurban	25/10/2021	RA18	RA18-3	1.5	0.185	100	peel	2.311
semiurban	25/10/2021	RA34	RA34-3	2	0.186	100	peel	3.075
semiurban	25/10/2021	RA22	RA22-2	2.75	0.211	100	peel	4.053
semiurban	25/10/2021	RA46	RA46-3	2	0.149	100	peel	3.342
semiurban	25/10/2021	RA43	RA43-4	21	NA	NA	pulp	NA
semiurban	25/10/2021	RA43	RA43-3	18.5	NA	NA	pulp	NA
semiurban	25/10/2021	RA50	RA50-4	19.75	NA	NA	pulp	NA
semiurban	25/10/2021	RA22	RA22-5	22.5	NA	NA	pulp	NA
semiurban	25/10/2021	RA20	RA20-2	20.5	NA	NA	pulp	NA
semiurban	25/10/2021	RA20	RA20-4	24	NA	NA	pulp	NA
semiurban	26/10/2021	RA3	RA3-3	0.75	0.128	100	peel	1.336
semiurban	26/10/2021	RA7	RA7-5	1.75	0.128	100	peel	3.117
semiurban	26/10/2021	RA39	RA39-4	2.25	0.133	100	peel	3.942
semiurban	26/10/2021	RA11	RA11-5	3	0.167	200	peel	6.593
semiurban	26/10/2021	RA49	RA49-4	3	0.146	100	peel	5.055
semiurban	26/10/2021	RA47	RA47-2	2.5	0.135	100	peel	4.352
semiurban	26/10/2021	RA49	RA49-1	2.5	0.193	100	peel	3.795
semiurban	26/10/2021	RA5	RA5-4	2.25	0.214	200	peel	4.353
semiurban	26/10/2021	RA43	RA43-3	2	0.151	100	peel	3.325
semiurban	26/10/2021	RA15	RA15-1	2.25	0.136	100	peel	3.904
semiurban	26/10/2021	RA49	RA49-5	20	NA	NA	pulp	NA
semiurban	26/10/2021	RA42	RA42-3	17.75	NA	NA	pulp	NA
semiurban	26/10/2021	RA45	RA45-1	18.5	NA	NA	pulp	NA
semiurban	26/10/2021	RA27	RA27-4	6.5	NA	NA	pulp	NA
semiurban	26/10/2021	RA33	RA33-3	12.75	NA	NA	pulp	NA
semiurban	01/11/2021	RA49	RA49-3	2.5	0.16	100	peel	4.063
