population	idplant	date	length	crop	fruit_rem	visits	obs_time_h	x.diam	x.nseeds	x.pulp.sugar	x.peel.sugar
urban	LP64	28-dic-20	3	41	3	0	0.5	34.65	191.4	21.70	5.68
urban	LP65	28-dic-20	4	200	38	0	0.5	35.71	146.4	18.13	3.62
rural	MG0	08-ene-21	1	1	0	0	0.5	NA	NA	NA	NA
rural	MG1	08-ene-21	2	8	6	0	0.5	17.73	54.7	NA	NA
rural	MG2	08-ene-21	1	3	3	0	0.5	20.34	72.5	NA	NA
rural	MG3	21-dic-20	0.5	1	0	0	0.5	NA	NA	8.88	2.78
rural	MG4	26-dic-20	2.8	1	1	0	0.5	34.80	143.2	12.25	1.44
rural	MG5	08-ene-21	1	2	2	0	0.5	29.84	0.0	NA	5.55
rural	MG6	08-ene-21	1	1	0	0	0.5	23.27	68.0	12.50	1.36
rural	MG7	21-dic-20	1	9	6	0	0.5	29.15	106.0	12.13	3.68
rural	MG8	21-dic-20	1	4	1	0	0.5	20.24	56.3	8.50	1.59
rural	MG9	21-dic-20	1.5	6	5	0	0.5	30.79	83.2	8.69	1.28
rural	MG10	26-dic-20	3	10	8	0	0.5	33.23	235.5	18.38	2.09
rural	MG11	08-ene-21	1.5	5	3	1	0.5	32.62	184.8	10.75	2.15
rural	MG12	26-dic-20	4.6	5	1	1	0.5	27.57	NA	12.25	3.68
rural	MG13	26-dic-20	1	4	0	0	0.5	27.10	211.0	16.50	1.72
rural	MG14	27-dic-20	1	2	1	0	0.5	NA	NA	8.33	1.70
rural	MG15	22-dic-20	6	8	4	2	0.5	32.43	211.0	NA	NA
rural	MG16	22-dic-20	1.5	13	4	3	0.5	32.83	220.3	NA	NA
rural	MG17	21-dic-20	3.5	10	5	0	0.5	35.29	0.0	NA	3.13
rural	MG18	21-dic-20	0.5	2	1	0	0.5	31.09	157.0	6.75	1.93
rural	MG19	21-dic-20	2	4	2	0	0.5	17.41	10.0	NA	1.20
rural	MG20	26-dic-20	1.6	6	3	0	0.5	33.62	169.0	16.50	2.83
rural	MG21	23-dic-20	3	10	5	0	0.5	36.64	232.0	18.75	1.33
rural	MG22	23-dic-20	4	5	3	0	0.5	29.31	241.2	8.69	2.94
rural	MG23	22-dic-20	1.5	1	1	0	0.5	31.48	205.4	11.38	2.82
rural	MG24	22-dic-20	1.5	14	14	0	0.5	38.10	277.6	13.46	1.98
rural	MG25	08-ene-21	2.5	3	3	0	0.5	29.35	86.5	NA	2.32
rural	MG26	26-dic-20	1.3	1	1	0	0.5	30.00	138.0	14.25	2.27
rural	MG27	23-dic-20	3	9	4	0	0.5	28.46	0.0	NA	NA
rural	MG28	26-dic-20	1	5	2	0	0.5	30.05	131.6	13.58	2.77
rural	MG29	08-ene-21	3	1	0	0	0.5	36.13	202.0	17.50	2.46
rural	MG30	08-ene-21	1.5	3	3	0	0.5	30.55	0.0	NA	2.26
rural	MG31	22-dic-20	3	3	3	0	0.5	33.80	210.0	16.75	1.59
rural	MG32	26-dic-20	4.2	7	3	0	0.5	NA	NA	NA	NA
rural	MG33	26-dic-20	1.5	5	2	0	0.5	29.58	136.3	6.17	2.04
rural	MG34	08-ene-21	1	3	3	0	0.5	NA	NA	NA	NA
rural	MG35	22-dic-20	4	9	9	1	0.5	28.93	74.5	9.50	1.65
rural	MG36	22-dic-20	2	4	3	0	0.5	19.87	0.0	NA	1.94
rural	MG37	27-dic-20	7	26	20	2	0.5	29.81	196.0	9.38	1.98
rural	MG38	27-dic-20	1.4	4	4	0	0.5	33.06	181.4	9.00	2.21
rural	MG39	27-dic-20	3	13	7	0	0.5	39.25	209.8	12.33	1.69
rural	MG40	27-dic-20	2.5	10	8	0	0.5	26.56	98.3	14.13	2.31
rural	MG41	27-dic-20	1.5	4	1	0	0.5	14.84	0.0	NA	1.11
rural	MG43	08-ene-21	0.5	1	0	0	0.5	31.81	0.0	4.25	2.85
semiurban	RA1	21-dic-20	6	230	30	1	0.5	32.80	121.0	15.33	4.94
semiurban	RA2	21-dic-20	2.5	9	7	0	0.5	29.08	199.7	12.13	2.29
semiurban	RA3	21-dic-20	3	28	17	0	0.5	27.96	113.0	15.42	2.31
